"","Vial","Genotype","Treatment","Days","Dead1Excluded0"
"1","1","WCS10","DRUG",1,1
"1.1","1","WCS10","DRUG",1,1
"1.2","1","WCS10","DRUG",1,1
"11","1","WCS10","DRUG",3,1
"1.11","1","WCS10","DRUG",3,1
"1.21","1","WCS10","DRUG",3,1
"12","3","dcr;VT64246","DRUG",0,1
"1.12","3","dcr;VT64246","DRUG",0,1
"1.22","3","dcr;VT64246","DRUG",0,1
"1.3","3","dcr;VT64246","DRUG",0,1
"13","3","dcr;VT64246","DRUG",2,1
"1.13","3","dcr;VT64246","DRUG",2,1
"1.23","3","dcr;VT64246","DRUG",2,1
"1.31","3","dcr;VT64246","DRUG",2,1
"14","4","WCS10","DMSO",1,1
"15","4","WCS10","DMSO",3,1
"16","6","dcr;VT64246","DMSO",1,1
"17","6","dcr;VT64246","DMSO",3,1
"18","7","WCS10","DRUG",1,1
"1.14","7","WCS10","DRUG",1,1
"1.24","7","WCS10","DRUG",1,1
"19","7","WCS10","DRUG",3,1
"1.15","7","WCS10","DRUG",3,1
"1.25","7","WCS10","DRUG",3,1
"110","8","WCS10","DMSO",1,1
"111","8","WCS10","DMSO",3,1
"112","9","WCS10","DRUG",1,1
"1.16","9","WCS10","DRUG",1,1
"1.26","9","WCS10","DRUG",1,1
"1.32","9","WCS10","DRUG",1,1
"1.4","9","WCS10","DRUG",1,1
"113","9","WCS10","DRUG",3,1
"1.17","9","WCS10","DRUG",3,1
"1.27","9","WCS10","DRUG",3,1
"1.33","9","WCS10","DRUG",3,1
"1.41","9","WCS10","DRUG",3,1
"114","1","WCS10","DRUG",1,0
"1.18","1","WCS10","DRUG",1,0
"115","1","WCS10","DRUG",3,0
"1.19","1","WCS10","DRUG",3,0
"116","4","WCS10","DMSO",1,0
"1.110","4","WCS10","DMSO",1,0
"117","4","WCS10","DMSO",3,0
"1.111","4","WCS10","DMSO",3,0
"118","6","dcr;VT64246","DMSO",1,0
"119","6","dcr;VT64246","DMSO",3,0
"120","9","WCS10","DRUG",1,0
"121","9","WCS10","DRUG",3,0
"122","1","WCS10","DRUG",3,0
"1.112","1","WCS10","DRUG",3,0
"1.28","1","WCS10","DRUG",3,0
"1.34","1","WCS10","DRUG",3,0
"1.42","1","WCS10","DRUG",3,0
"1.5","1","WCS10","DRUG",3,0
"1.6","1","WCS10","DRUG",3,0
"1.7","1","WCS10","DRUG",3,0
"1.8","1","WCS10","DRUG",3,0
"1.9","1","WCS10","DRUG",3,0
"123","2","WCS10","DMSO",3,0
"1.113","2","WCS10","DMSO",3,0
"1.29","2","WCS10","DMSO",3,0
"1.35","2","WCS10","DMSO",3,0
"1.43","2","WCS10","DMSO",3,0
"1.51","2","WCS10","DMSO",3,0
"1.61","2","WCS10","DMSO",3,0
"1.71","2","WCS10","DMSO",3,0
"1.81","2","WCS10","DMSO",3,0
"1.91","2","WCS10","DMSO",3,0
"1.10","2","WCS10","DMSO",3,0
"1.114","2","WCS10","DMSO",3,0
"1.121","2","WCS10","DMSO",3,0
"1.131","2","WCS10","DMSO",3,0
"1.141","2","WCS10","DMSO",3,0
"1.151","2","WCS10","DMSO",3,0
"1.161","2","WCS10","DMSO",3,0
"1.171","2","WCS10","DMSO",3,0
"1.181","2","WCS10","DMSO",3,0
"1.191","2","WCS10","DMSO",3,0
"124","3","dcr;VT64246","DRUG",2,0
"1.115","3","dcr;VT64246","DRUG",2,0
"1.210","3","dcr;VT64246","DRUG",2,0
"1.36","3","dcr;VT64246","DRUG",2,0
"1.44","3","dcr;VT64246","DRUG",2,0
"1.52","3","dcr;VT64246","DRUG",2,0
"1.62","3","dcr;VT64246","DRUG",2,0
"1.72","3","dcr;VT64246","DRUG",2,0
"1.82","3","dcr;VT64246","DRUG",2,0
"1.92","3","dcr;VT64246","DRUG",2,0
"1.101","3","dcr;VT64246","DRUG",2,0
"1.116","3","dcr;VT64246","DRUG",2,0
"125","4","WCS10","DMSO",3,0
"1.117","4","WCS10","DMSO",3,0
"1.211","4","WCS10","DMSO",3,0
"1.37","4","WCS10","DMSO",3,0
"1.45","4","WCS10","DMSO",3,0
"1.53","4","WCS10","DMSO",3,0
"1.63","4","WCS10","DMSO",3,0
"1.73","4","WCS10","DMSO",3,0
"1.83","4","WCS10","DMSO",3,0
"1.93","4","WCS10","DMSO",3,0
"1.102","4","WCS10","DMSO",3,0
"1.118","4","WCS10","DMSO",3,0
"1.122","4","WCS10","DMSO",3,0
"1.132","4","WCS10","DMSO",3,0
"126","5","WCS10","DRUG",3,0
"1.119","5","WCS10","DRUG",3,0
"1.212","5","WCS10","DRUG",3,0
"1.38","5","WCS10","DRUG",3,0
"1.46","5","WCS10","DRUG",3,0
"1.54","5","WCS10","DRUG",3,0
"1.64","5","WCS10","DRUG",3,0
"1.74","5","WCS10","DRUG",3,0
"1.84","5","WCS10","DRUG",3,0
"1.94","5","WCS10","DRUG",3,0
"1.103","5","WCS10","DRUG",3,0
"1.1110","5","WCS10","DRUG",3,0
"1.123","5","WCS10","DRUG",3,0
"1.133","5","WCS10","DRUG",3,0
"1.142","5","WCS10","DRUG",3,0
"1.152","5","WCS10","DRUG",3,0
"1.162","5","WCS10","DRUG",3,0
"1.172","5","WCS10","DRUG",3,0
"1.182","5","WCS10","DRUG",3,0
"1.192","5","WCS10","DRUG",3,0
"127","6","dcr;VT64246","DMSO",3,0
"1.120","6","dcr;VT64246","DMSO",3,0
