"","Vial","Genotype","Treatment","Days","Dead1Excluded0","combined_treatment_group"
"1","121","Canton S","DMSO",15,1,"Canton S DMSO"
"11","121","Canton S","DMSO",18,1,"Canton S DMSO"
"1.1","121","Canton S","DMSO",18,1,"Canton S DMSO"
"12","122","Canton S","DMSO",15,1,"Canton S DMSO"
"13","123","Canton S","DMSO",11,1,"Canton S DMSO"
"14","123","Canton S","DMSO",15,1,"Canton S DMSO"
"15","124","Canton S","DMSO",18,1,"Canton S DMSO"
"16","125","Canton S","DMSO",8,1,"Canton S DMSO"
"17","125","Canton S","DMSO",18,1,"Canton S DMSO"
"18","126","Canton S","Alverine citrate",15,1,"Canton S Alverine citrate"
"19","127","Canton S","Alverine citrate",15,1,"Canton S Alverine citrate"
"110","127","Canton S","Alverine citrate",18,1,"Canton S Alverine citrate"
"111","128","Canton S","Alverine citrate",15,1,"Canton S Alverine citrate"
"1.11","128","Canton S","Alverine citrate",15,1,"Canton S Alverine citrate"
"112","129","Canton S","Alverine citrate",4,1,"Canton S Alverine citrate"
"1.12","129","Canton S","Alverine citrate",4,1,"Canton S Alverine citrate"
"113","129","Canton S","Alverine citrate",11,1,"Canton S Alverine citrate"
"114","129","Canton S","Alverine citrate",15,1,"Canton S Alverine citrate"
"1.13","129","Canton S","Alverine citrate",15,1,"Canton S Alverine citrate"
"115","129","Canton S","Alverine citrate",18,1,"Canton S Alverine citrate"
"116","130","Canton S","Alverine citrate",15,1,"Canton S Alverine citrate"
"1.14","130","Canton S","Alverine citrate",15,1,"Canton S Alverine citrate"
"117","130","Canton S","Alverine citrate",18,1,"Canton S Alverine citrate"
"118","121","Canton S","DMSO",15,0,"Canton S DMSO"
"119","122","Canton S","DMSO",8,0,"Canton S DMSO"
"120","123","Canton S","DMSO",18,0,"Canton S DMSO"
"121","127","Canton S","Alverine citrate",4,0,"Canton S Alverine citrate"
"122","128","Canton S","Alverine citrate",4,0,"Canton S Alverine citrate"
"123","130","Canton S","Alverine citrate",18,0,"Canton S Alverine citrate"
"124","121","Canton S","DMSO",18,0,"Canton S DMSO"
"1.16","121","Canton S","DMSO",18,0,"Canton S DMSO"
"1.2","121","Canton S","DMSO",18,0,"Canton S DMSO"
"1.3","121","Canton S","DMSO",18,0,"Canton S DMSO"
"1.4","121","Canton S","DMSO",18,0,"Canton S DMSO"
"1.5","121","Canton S","DMSO",18,0,"Canton S DMSO"
"1.6","121","Canton S","DMSO",18,0,"Canton S DMSO"
"1.7","121","Canton S","DMSO",18,0,"Canton S DMSO"
"1.8","121","Canton S","DMSO",18,0,"Canton S DMSO"
"1.9","121","Canton S","DMSO",18,0,"Canton S DMSO"
"1.10","121","Canton S","DMSO",18,0,"Canton S DMSO"
"1.111","121","Canton S","DMSO",18,0,"Canton S DMSO"
"1.121","121","Canton S","DMSO",18,0,"Canton S DMSO"
"1.131","121","Canton S","DMSO",18,0,"Canton S DMSO"
"1.141","121","Canton S","DMSO",18,0,"Canton S DMSO"
"1.15","121","Canton S","DMSO",18,0,"Canton S DMSO"
"125","122","Canton S","DMSO",18,0,"Canton S DMSO"
"1.18","122","Canton S","DMSO",18,0,"Canton S DMSO"
"1.21","122","Canton S","DMSO",18,0,"Canton S DMSO"
"1.31","122","Canton S","DMSO",18,0,"Canton S DMSO"
"1.41","122","Canton S","DMSO",18,0,"Canton S DMSO"
"1.51","122","Canton S","DMSO",18,0,"Canton S DMSO"
"1.61","122","Canton S","DMSO",18,0,"Canton S DMSO"
"1.71","122","Canton S","DMSO",18,0,"Canton S DMSO"
"1.81","122","Canton S","DMSO",18,0,"Canton S DMSO"
"1.91","122","Canton S","DMSO",18,0,"Canton S DMSO"
"1.101","122","Canton S","DMSO",18,0,"Canton S DMSO"
"1.112","122","Canton S","DMSO",18,0,"Canton S DMSO"
"1.122","122","Canton S","DMSO",18,0,"Canton S DMSO"
"1.132","122","Canton S","DMSO",18,0,"Canton S DMSO"
"1.142","122","Canton S","DMSO",18,0,"Canton S DMSO"
"1.151","122","Canton S","DMSO",18,0,"Canton S DMSO"
"1.161","122","Canton S","DMSO",18,0,"Canton S DMSO"
"1.17","122","Canton S","DMSO",18,0,"Canton S DMSO"
"126","123","Canton S","DMSO",18,0,"Canton S DMSO"
